0,28,29.29
0.1,28,29.29
0.2,28,29.15
0.3,28,29.03
0.4,28,29.29
0.5,28,28.95
0.6,28,29.15
0.7,28,29.03
0.8,28,29.11
0.9,28,29.43
1,28,29.25
1.1,28,29.35
1.2,28,29.19
1.3,28,29.25
1.4,28,29.37
1.5,28,28.95
1.6,28,29.15
1.7,28,29.31
1.8,28,28.99
1.9,28,28.89
2,28,29.25
2.1,28,28.91
2.2,28,28.99
2.3,28,29.05
2.4,28,29.31
2.5,28,29.15
2.6,28,29.09
2.7,28.05,29.25
2.8,28.05,28.97
2.9,28.05,28.95
3,28.05,29.17
3.1,28.05,29.11
3.2,28.05,28.75
3.3,28.05,29.35
3.4,28.05,29.17
3.5,28.05,29.25
3.6,28.05,28.97
3.7,28.05,28.71
3.8,28.05,29.05
3.9,28.05,29.45
4,28.05,29.03
4.1,28.05,29.29
4.2,28.05,28.99
4.3,28.05,28.95
4.4,28.05,29.15
4.5,28.05,29.63
4.6,28.05,29.25
4.7,28.05,29.37
4.8,28.05,29.17
4.9,28.05,28.77
5,28.05,29.15
5.1,28.05,28.99
5.2,28.05,28.97
5.3,28.05,29.25
5.4,28.05,28.83
5.5,28.05,28.95
5.6,28.05,29.45
5.7,28.05,29.59
5.8,28.05,29.39
5.9,28.05,29.25
6,28.05,29.23
6.1,28.05,29.23
6.2,28.05,29.17
6.3,28,28.99
6.4,28.05,28.97
6.5,28.05,29.39
6.6,28,29.25
6.7,28,29.45
6.8,28,29.35
6.9,28,29.09
7,28,29.23
7.1,28,29.23
7.2,28,28.83
7.3,28,29.23
7.4,28,29.25
7.5,28,29.05
7.6,28,29.09
7.7,28,29.05
7.8,28,29.55
7.9,28,29.11
8,28,28.85
8.1,28,28.77
8.2,28,29.45
8.3,28,29.05
8.4,28,29.39
8.5,28,28.97
8.6,28,28.95
8.7,28,29.43
8.8,28,29.37
8.9,28,29.29
9,28,29.39
9.1,28,28.85
9.2,27.95,29.09
9.3,28,29.05
9.4,28,29.35
9.5,28,29.35
9.6,28,29.55
9.7,28,29.55
9.8,27.95,29.51
9.9,27.95,29.57
10,27.95,29.29
10.1,27.95,29.49
10.2,27.95,29.29
10.3,27.95,29.11
10.4,27.95,28.97
10.5,27.95,29.05
10.6,27.95,29.43
10.7,27.95,29.43
10.8,27.95,29.51
10.9,27.95,29.15
11,27.95,29.39
11.1,27.95,28.99
11.2,27.95,28.99
11.3,27.95,29.25
11.4,27.95,29.35
11.5,27.95,29.11
11.6,27.95,28.99
11.7,27.95,29.35
11.8,27.9,29.37
11.9,27.95,29.43
12,27.95,29.17
12.1,27.9,28.85
12.2,27.9,29.43
12.3,27.9,29.39
12.4,27.9,29.23
12.5,27.9,29.11
12.6,27.9,28.79
12.7,27.9,29.09
12.8,27.9,29.17
12.9,27.9,29.37
13,27.9,29.31
13.1,27.9,29.37
13.2,27.9,29.37
13.3,27.9,29.39
13.4,27.9,29.03
13.5,27.9,29.19
13.6,27.9,28.83
13.7,27.9,29.23
13.8,27.9,29.17
13.9,27.9,29.09
14,27.9,28.89
14.1,27.9,29.17
14.2,27.9,28.97
14.3,27.9,29.09
14.4,27.9,29.17
14.5,27.9,29.03
14.6,27.9,28.95
14.7,27.9,29.05
14.8,27.9,29.23
14.9,27.9,29.15
15,27.9,29.59
15.1,27.9,29.03
15.2,27.9,28.77
15.3,27.9,29.25
15.4,27.9,28.97
15.5,27.9,29.45
15.6,27.9,28.99
15.7,27.9,28.71
15.8,27.9,29.09
15.9,27.9,29.17
16,27.9,29.09
16.1,27.9,29.09
16.2,27.9,29.39
16.3,27.9,28.89
16.4,27.9,29.19
16.5,27.9,29.39
16.6,27.9,29.05
16.7,27.9,29.15
16.8,27.95,29.45
16.9,27.95,28.77
17,27.95,28.89
17.1,27.95,29.11
17.2,27.95,29.09
17.3,27.95,29.23
17.4,27.95,29.43
17.5,27.95,29.09
17.6,27.95,29.35
17.7,27.95,29.39
17.8,27.95,29.15
17.9,27.95,29.15
18,27.95,29.17
18.1,27.95,29.39
18.2,27.95,29.05
18.3,27.95,28.91
18.4,27.95,29.29
18.5,27.95,29.03
18.6,27.95,28.97
18.7,27.95,28.83
18.8,27.95,29.19
18.9,27.95,28.99
19,28.05,29.25
19.1,28.15,29.19
19.2,28.25,28.91
19.3,28.35,29.51
19.4,28.35,29.11
19.5,28.75,29.99
19.6,31,33.85
19.7,36.15,40.81
19.8,43.25,49.05
19.9,51.55,58.19
20,59.35,65.41
20.1,66.15,70.07
20.2,72.25,75.61
20.3,77.1,78.89
20.4,81.15,81.95
20.5,84.55,84.57
20.6,87.3,86.45
20.7,89.95,88.29
20.8,92,89.27
20.9,94.55,92.21
21,97.6,95.87
21.1,100.7,99.29
